Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,0,-1.000,-1.000
12,0,-1.000,-1.000
13,0,-1.000,-1.000
14,0,-1.000,-1.000
15,0,-1.000,-1.000
16,0,-1.000,-1.000
17,0,-1.000,-1.000
18,0,-1.000,-1.000
19,1,0.398,0.265
20,1,0.398,0.274
21,1,0.398,0.287
22,1,0.398,0.300
23,1,0.398,0.314
24,1,0.397,0.328
25,1,0.397,0.344
26,1,0.397,0.333
27,1,0.398,0.328
28,1,0.398,0.317
29,1,0.399,0.312
30,1,0.399,0.304
31,1,0.398,0.303
32,1,0.401,0.294
33,1,0.401,0.292
34,1,0.401,0.289
35,1,0.401,0.286
36,1,0.403,0.290
37,1,0.413,0.297
38,1,0.427,0.300
39,1,0.445,0.311
40,1,0.463,0.321
41,1,0.480,0.331
42,1,0.495,0.342
43,1,0.512,0.358
44,1,0.531,0.371
45,1,0.549,0.390
46,1,0.567,0.403
47,1,0.587,0.426
48,1,0.606,0.449
49,1,0.626,0.471
50,1,0.647,0.496
51,1,0.664,0.522
52,1,0.686,0.550
53,1,0.708,0.586
54,1,0.727,0.614
55,1,0.755,0.656
56,1,0.771,0.681
57,1,0.789,0.678
58,1,0.802,0.685
59,1,0.783,0.642
60,1,0.756,0.588
61,1,0.733,0.546
62,1,0.713,0.510
63,1,0.694,0.476
64,1,0.673,0.443
65,1,0.654,0.414
66,1,0.638,0.389
67,1,0.620,0.368
68,1,0.605,0.342
69,1,0.591,0.328
70,1,0.577,0.312
71,1,0.561,0.299
72,1,0.547,0.283
73,1,0.534,0.275
74,1,0.523,0.267
75,1,0.509,0.258
76,1,0.497,0.253
77,1,0.486,0.247
78,1,0.476,0.251
79,1,0.466,0.257
80,1,0.453,0.279
81,1,0.439,0.300
82,1,0.428,0.311
83,1,0.414,0.333
84,1,0.402,0.356
85,1,0.386,0.378
86,1,0.372,0.408
87,1,0.356,0.436
88,1,0.342,0.467
89,1,0.323,0.503
90,1,0.309,0.533
91,1,0.292,0.572
92,1,0.272,0.617
93,1,0.255,0.651
94,1,0.245,0.642
95,1,0.232,0.637
96,1,0.223,0.636
97,1,0.209,0.629
98,1,0.198,0.629
99,1,0.184,0.632
100,1,0.174,0.637
101,1,0.164,0.639
102,1,0.168,0.640
103,1,0.171,0.646
104,1,0.176,0.653
105,1,0.180,0.658
106,1,0.183,0.667
107,1,0.187,0.679
108,1,0.192,0.692
109,1,0.195,0.708
110,1,0.200,0.728
111,1,0.205,0.747
112,1,0.220,0.738
113,1,0.230,0.731
114,1,0.244,0.722
115,1,0.259,0.717
116,1,0.267,0.713
117,1,0.280,0.711
118,1,0.292,0.711
119,1,0.302,0.708
120,1,0.313,0.717
121,1,0.324,0.721
122,1,0.329,0.685
123,1,0.325,0.640
124,1,0.323,0.589
125,1,0.322,0.553
126,1,0.321,0.521
127,1,0.320,0.486
128,1,0.319,0.458
129,1,0.319,0.436
130,1,0.317,0.414
131,1,0.316,0.392
132,1,0.316,0.378
133,1,0.316,0.365
134,1,0.314,0.350
135,1,0.314,0.342
136,1,0.314,0.336
137,1,0.312,0.331
138,1,0.313,0.329
139,1,0.314,0.331
140,1,0.325,0.354
141,1,0.327,0.362
142,1,0.336,0.381
143,1,0.343,0.401
144,1,0.349,0.418
145,1,0.353,0.436
146,1,0.359,0.456
147,1,0.370,0.482
148,1,0.377,0.506
149,1,0.384,0.533
150,1,0.392,0.561
151,1,0.402,0.594
152,1,0.409,0.622
153,1,0.416,0.619
154,1,0.420,0.619
155,1,0.423,0.619
156,1,0.431,0.621
157,1,0.438,0.625
158,1,0.444,0.631
159,1,0.448,0.633
160,1,0.456,0.647
161,1,0.463,0.653
162,1,0.470,0.669
163,1,0.476,0.682
164,1,0.473,0.622
165,1,0.472,0.567
166,1,0.468,0.512
167,1,0.468,0.465
168,1,0.466,0.418
169,1,0.463,0.372
170,1,0.461,0.333
171,1,0.459,0.296
172,1,0.458,0.264
173,1,0.456,0.231
174,1,0.453,0.200
175,1,0.453,0.178
176,1,0.451,0.161
177,1,0.450,0.133
178,1,0.447,0.108
179,1,0.446,0.094
180,1,0.444,0.075
181,1,0.443,0.062
182,1,0.442,0.050
183,1,0.441,0.040
184,1,0.438,0.028
185,1,0.437,0.025
186,1,0.436,0.022
187,1,0.434,0.017
188,1,0.434,0.017
189,1,0.432,0.013
190,1,0.431,0.014
191,1,0.430,0.015
192,1,0.430,0.019
193,1,0.428,0.022
194,1,0.427,0.029
195,1,0.427,0.036
196,1,0.425,0.044
197,1,0.423,0.053
198,1,0.425,0.069
199,1,0.423,0.081
200,1,0.422,0.086
201,1,0.420,0.097
202,1,0.420,0.114
203,1,0.419,0.125
204,1,0.418,0.143
205,1,0.418,0.163
206,1,0.418,0.172
207,1,0.405,0.193
208,1,0.394,0.214
209,1,0.383,0.233
210,1,0.372,0.258
211,1,0.361,0.283
212,1,0.348,0.310
213,1,0.336,0.333
214,1,0.327,0.365
215,1,0.314,0.400
216,1,0.302,0.433
217,1,0.290,0.471
218,1,0.278,0.515
219,1,0.278,0.512
220,1,0.281,0.485
221,1,0.288,0.453
222,1,0.295,0.424
223,1,0.297,0.400
224,1,0.303,0.381
225,1,0.306,0.364
226,1,0.311,0.344
227,1,0.316,0.331
228,1,0.320,0.317
229,1,0.323,0.306
230,1,0.328,0.294
231,1,0.331,0.286
232,1,0.334,0.278
233,1,0.339,0.275
234,1,0.344,0.269
235,1,0.346,0.265
236,1,0.348,0.264
237,1,0.353,0.264
238,1,0.355,0.263
239,1,0.358,0.264
240,1,0.361,0.267
241,1,0.364,0.269
242,1,0.366,0.272
243,1,0.370,0.281
244,1,0.372,0.286
245,1,0.375,0.294
246,1,0.377,0.297
247,1,0.377,0.289
248,1,0.377,0.281
249,1,0.375,0.272
250,1,0.373,0.264
251,1,0.372,0.256
252,1,0.373,0.254
253,1,0.370,0.247
254,1,0.370,0.247
255,1,0.369,0.242
256,1,0.369,0.244
257,1,0.369,0.247
258,1,0.367,0.247
259,1,0.367,0.250
260,1,0.367,0.256
261,1,0.366,0.258
262,1,0.364,0.264
263,1,0.364,0.272
264,1,0.364,0.283
265,1,0.366,0.278
266,1,0.368,0.257
267,1,0.370,0.239
268,1,0.372,0.225
269,1,0.378,0.214
270,1,0.380,0.197
271,1,0.385,0.185
272,1,0.389,0.175
273,1,0.394,0.164
274,1,0.397,0.153
275,1,0.400,0.144
276,1,0.405,0.139
277,1,0.408,0.133
278,1,0.412,0.132
279,1,0.419,0.125
280,1,0.421,0.124
281,1,0.428,0.125
282,1,0.433,0.125
283,1,0.434,0.131
284,1,0.441,0.132
285,1,0.447,0.136
286,1,0.453,0.144
287,1,0.456,0.151
288,1,0.461,0.164
289,1,0.467,0.175
290,1,0.472,0.189
291,1,0.478,0.208
292,1,0.484,0.226
293,1,0.491,0.244
294,1,0.495,0.265
295,1,0.502,0.292
296,1,0.506,0.314
297,1,0.511,0.344
298,1,0.519,0.372
299,1,0.525,0.403
300,1,0.530,0.438
301,1,0.534,0.444
302,1,0.533,0.428
303,1,0.531,0.414
304,1,0.532,0.412
305,1,0.530,0.403
306,1,0.529,0.400
307,1,0.527,0.397
308,1,0.523,0.392
309,1,0.523,0.394
310,1,0.519,0.392
311,1,0.517,0.392
312,1,0.517,0.397
313,1,0.514,0.397
314,1,0.512,0.400
315,1,0.511,0.381
316,1,0.509,0.361
317,1,0.506,0.342
318,1,0.505,0.325
319,1,0.502,0.324
320,1,0.498,0.325
321,1,0.495,0.326
322,1,0.488,0.328
323,1,0.486,0.331
324,1,0.482,0.336
325,1,0.478,0.336
326,1,0.474,0.347
327,1,0.470,0.350
328,1,0.466,0.365
329,1,0.459,0.375
330,1,0.456,0.390
331,1,0.452,0.403
332,1,0.446,0.421
333,1,0.442,0.439
334,1,0.434,0.461
335,1,0.429,0.483
336,1,0.423,0.510
337,1,0.417,0.531
338,1,0.413,0.526
339,1,0.409,0.500
340,1,0.404,0.476
341,1,0.400,0.456
342,1,0.398,0.443
343,1,0.394,0.425
344,1,0.389,0.408
345,1,0.388,0.397
346,1,0.384,0.389
347,1,0.383,0.376
348,1,0.380,0.372
349,1,0.374,0.369
350,1,0.375,0.364
351,1,0.373,0.360
352,1,0.370,0.361
353,1,0.370,0.362
354,1,0.367,0.364
355,1,0.366,0.367
356,1,0.364,0.369
357,1,0.362,0.375
358,1,0.361,0.358
359,1,0.360,0.346
360,1,0.359,0.333
361,1,0.359,0.325
362,1,0.358,0.314
363,1,0.358,0.308
364,1,0.357,0.300
365,1,0.356,0.294
366,1,0.355,0.292
367,1,0.355,0.286
368,1,0.356,0.286
369,1,0.355,0.275
370,1,0.359,0.258
371,1,0.362,0.240
372,1,0.364,0.225
373,1,0.369,0.214
374,1,0.373,0.199
375,1,0.373,0.183
376,1,0.380,0.175
377,1,0.383,0.164
378,1,0.388,0.156
379,1,0.389,0.144
380,1,0.395,0.139
381,1,0.398,0.132
382,1,0.400,0.125
383,1,0.406,0.122
384,1,0.409,0.122
385,1,0.417,0.125
386,1,0.417,0.119
387,1,0.420,0.122
388,1,0.427,0.126
389,1,0.430,0.128
390,1,0.436,0.136
391,1,0.441,0.144
392,1,0.445,0.156
393,1,0.449,0.165
394,1,0.453,0.175
395,1,0.460,0.190
396,1,0.466,0.208
397,1,0.469,0.225
398,1,0.476,0.246
399,1,0.481,0.267
400,1,0.484,0.292
401,1,0.491,0.311
402,1,0.497,0.342
403,1,0.502,0.371
404,1,0.528,0.369
405,1,0.547,0.367
406,1,0.564,0.367
407,1,0.584,0.369
408,1,0.602,0.378
409,1,0.618,0.382
410,1,0.630,0.383
411,1,0.640,0.392
412,1,0.634,0.388
413,1,0.630,0.388
414,1,0.624,0.388
415,1,0.620,0.390
416,1,0.613,0.396
417,1,0.612,0.399
