Frame,Ball,x,y
0,1,0.395,0.690
1,1,0.393,0.676
2,1,0.392,0.665
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,1,0.398,0.681
11,1,0.398,0.703
12,1,0.399,0.726
13,1,0.399,0.749
14,1,0.399,0.738
15,1,0.398,0.721
16,1,0.397,0.708
17,1,0.396,0.696
18,1,0.396,0.681
19,1,0.391,0.671
20,0,-1.000,-1.000
21,0,-1.000,-1.000
22,0,-1.000,-1.000
23,0,-1.000,-1.000
24,0,-1.000,-1.000
25,0,-1.000,-1.000
26,0,-1.000,-1.000
27,1,0.394,0.700
28,1,0.394,0.718
29,1,0.394,0.746
30,1,0.395,0.740
31,1,0.394,0.724
32,1,0.392,0.708
33,1,0.395,0.690
34,1,0.394,0.686
35,1,0.392,0.675
36,0,-1.000,-1.000
37,0,-1.000,-1.000
38,0,-1.000,-1.000
39,0,-1.000,-1.000
40,0,-1.000,-1.000
41,0,-1.000,-1.000
42,0,-1.000,-1.000
43,1,0.398,0.678
44,1,0.394,0.693
45,1,0.395,0.718
46,1,0.393,0.743
47,1,0.392,0.742
48,1,0.391,0.724
49,1,0.390,0.708
50,1,0.388,0.694
51,1,0.384,0.686
52,0,-1.000,-1.000
53,0,-1.000,-1.000
54,0,-1.000,-1.000
55,0,-1.000,-1.000
56,0,-1.000,-1.000
57,0,-1.000,-1.000
58,0,-1.000,-1.000
59,0,-1.000,-1.000
60,0,-1.000,-1.000
61,0,-1.000,-1.000
62,0,-1.000,-1.000
63,0,-1.000,-1.000
64,0,-1.000,-1.000
65,0,-1.000,-1.000
66,0,-1.000,-1.000
67,0,-1.000,-1.000
68,0,-1.000,-1.000
69,0,-1.000,-1.000
70,0,-1.000,-1.000
71,0,-1.000,-1.000
72,0,-1.000,-1.000
73,0,-1.000,-1.000
74,0,-1.000,-1.000
75,0,-1.000,-1.000
76,0,-1.000,-1.000
77,0,-1.000,-1.000
78,0,-1.000,-1.000
