Frame,Ball,x,y
0,1,0.427,0.293
1,1,0.431,0.304
2,1,0.436,0.315
3,1,0.442,0.328
4,1,0.448,0.343
5,1,0.454,0.358
6,1,0.459,0.375
7,1,0.463,0.397
8,1,0.470,0.424
9,1,0.477,0.444
10,1,0.478,0.458
11,1,0.484,0.489
12,1,0.491,0.515
13,1,0.497,0.549
14,1,0.500,0.576
15,1,0.506,0.618
16,1,0.509,0.650
17,1,0.517,0.688
18,1,0.520,0.686
19,1,0.523,0.690
20,1,0.527,0.693
21,1,0.531,0.703
22,1,0.536,0.710
23,1,0.537,0.722
24,1,0.541,0.736
25,1,0.544,0.757
26,1,0.549,0.772
27,1,0.552,0.797
28,1,0.557,0.793
29,1,0.562,0.787
30,1,0.566,0.775
31,1,0.568,0.765
32,1,0.573,0.762
33,1,0.577,0.743
34,1,0.566,0.671
35,1,0.559,0.613
36,1,0.551,0.553
37,1,0.544,0.499
38,1,0.537,0.442
39,1,0.530,0.394
40,1,0.522,0.349
41,1,0.516,0.306
42,1,0.509,0.268
43,1,0.503,0.232
44,1,0.496,0.199
45,1,0.491,0.165
46,1,0.485,0.132
47,1,0.482,0.114
48,1,0.475,0.087
49,1,0.470,0.064
50,1,0.465,0.046
51,1,0.459,0.026
52,1,0.455,0.015
53,1,0.452,0.004
54,0,-1.000,-1.000
55,0,-1.000,-1.000
56,0,-1.000,-1.000
57,0,-1.000,-1.000
58,0,-1.000,-1.000
59,0,-1.000,-1.000
60,0,-1.000,-1.000
61,0,-1.000,-1.000
62,0,-1.000,-1.000
63,0,-1.000,-1.000
64,0,-1.000,-1.000
65,0,-1.000,-1.000
66,0,-1.000,-1.000
67,1,0.401,0.004
68,1,0.398,0.014
69,1,0.397,0.025
70,1,0.393,0.039
71,1,0.390,0.056
72,1,0.388,0.067
73,1,0.387,0.082
74,1,0.384,0.103
75,1,0.382,0.117
76,1,0.383,0.117
77,1,0.380,0.136
78,1,0.395,0.150
79,1,0.409,0.161
80,1,0.427,0.174
81,1,0.445,0.189
82,1,0.461,0.206
83,1,0.484,0.228
84,1,0.502,0.246
85,1,0.520,0.267
86,1,0.543,0.293
87,1,0.564,0.319
88,1,0.585,0.347
89,1,0.605,0.372
90,1,0.629,0.408
91,1,0.655,0.443
92,1,0.684,0.486
93,1,0.706,0.522
94,1,0.732,0.565
95,1,0.759,0.608
96,1,0.787,0.650
97,1,0.803,0.636
98,1,0.820,0.628
99,1,0.834,0.626
100,1,0.816,0.629
101,1,0.800,0.633
102,1,0.785,0.640
103,1,0.768,0.646
104,1,0.754,0.657
105,1,0.738,0.671
106,1,0.723,0.683
107,1,0.705,0.696
108,1,0.695,0.721
109,1,0.688,0.746
110,1,0.682,0.771
111,1,0.680,0.776
112,1,0.680,0.769
113,1,0.680,0.767
114,1,0.680,0.758
115,1,0.680,0.754
116,1,0.680,0.757
117,1,0.680,0.760
118,1,0.681,0.761
119,1,0.681,0.764
120,1,0.681,0.772
121,1,0.680,0.781
122,1,0.682,0.794
123,1,0.681,0.803
124,1,0.680,0.808
125,1,0.674,0.806
126,1,0.670,0.806
127,1,0.667,0.806
128,1,0.662,0.807
129,1,0.658,0.812
130,1,0.652,0.817
131,1,0.650,0.822
132,1,0.647,0.814
133,1,0.642,0.800
134,1,0.641,0.792
135,1,0.641,0.794
136,1,0.630,0.812
137,1,0.627,0.789
138,1,0.622,0.769
139,1,0.617,0.751
140,1,0.613,0.732
141,1,0.610,0.721
142,0,-1.000,-1.000
143,0,-1.000,-1.000
144,0,-1.000,-1.000
145,0,-1.000,-1.000
146,0,-1.000,-1.000
147,0,-1.000,-1.000
148,0,-1.000,-1.000
149,0,-1.000,-1.000
150,0,-1.000,-1.000
151,0,-1.000,-1.000
152,0,-1.000,-1.000
153,0,-1.000,-1.000
154,0,-1.000,-1.000
