Frame,Ball,x,y
0,1,0.361,0.369
1,1,0.355,0.366
2,1,0.348,0.359
3,1,0.343,0.360
4,1,0.338,0.359
5,1,0.333,0.357
6,1,0.329,0.360
7,1,0.323,0.361
8,1,0.322,0.348
9,1,0.319,0.333
10,1,0.318,0.323
11,1,0.315,0.313
12,1,0.313,0.302
13,1,0.311,0.294
14,1,0.310,0.291
15,1,0.310,0.288
16,1,0.309,0.288
17,1,0.309,0.293
18,1,0.308,0.295
19,1,0.308,0.300
20,1,0.308,0.306
21,1,0.307,0.314
22,1,0.307,0.323
23,1,0.306,0.334
24,1,0.305,0.348
25,1,0.303,0.358
26,1,0.303,0.377
27,1,0.303,0.394
28,1,0.302,0.415
29,1,0.302,0.434
30,1,0.301,0.459
31,1,0.300,0.481
32,1,0.297,0.506
33,1,0.307,0.495
34,1,0.322,0.462
35,1,0.330,0.440
36,1,0.341,0.413
37,1,0.351,0.398
38,1,0.359,0.379
39,1,0.369,0.366
40,1,0.378,0.349
41,1,0.386,0.341
42,1,0.394,0.329
43,1,0.403,0.322
44,1,0.410,0.315
45,1,0.419,0.306
46,1,0.424,0.304
47,1,0.431,0.297
48,1,0.439,0.296
49,1,0.446,0.296
50,1,0.453,0.295
51,1,0.459,0.297
52,1,0.465,0.300
53,1,0.471,0.303
54,1,0.477,0.308
55,1,0.483,0.312
56,1,0.488,0.318
57,1,0.494,0.325
58,1,0.499,0.329
59,1,0.502,0.318
60,1,0.506,0.306
61,1,0.508,0.297
62,1,0.512,0.289
63,1,0.515,0.281
64,1,0.519,0.278
65,1,0.522,0.272
66,1,0.526,0.269
67,1,0.529,0.267
68,1,0.531,0.262
69,1,0.532,0.235
70,1,0.534,0.217
71,1,0.535,0.195
72,1,0.536,0.170
73,1,0.538,0.151
74,1,0.540,0.131
75,1,0.541,0.110
76,1,0.543,0.092
77,1,0.545,0.074
78,1,0.545,0.057
79,1,0.547,0.043
80,1,0.548,0.026
81,1,0.550,0.014
82,0,-1.000,-1.000
83,0,-1.000,-1.000
84,0,-1.000,-1.000
85,0,-1.000,-1.000
86,0,-1.000,-1.000
87,0,-1.000,-1.000
88,0,-1.000,-1.000
89,0,-1.000,-1.000
90,0,-1.000,-1.000
91,0,-1.000,-1.000
92,1,0.594,0.631
93,0,-1.000,-1.000
94,0,-1.000,-1.000
95,0,-1.000,-1.000
96,0,-1.000,-1.000
97,0,-1.000,-1.000
98,0,-1.000,-1.000
99,0,-1.000,-1.000
100,0,-1.000,-1.000
101,1,0.591,0.021
102,1,0.593,0.040
103,1,0.596,0.062
104,1,0.597,0.081
105,1,0.600,0.106
106,1,0.604,0.135
107,1,0.606,0.166
108,1,0.609,0.196
109,1,0.610,0.227
110,1,0.614,0.264
111,1,0.616,0.299
112,1,0.619,0.331
113,1,0.621,0.380
114,1,0.624,0.429
115,1,0.629,0.450
116,1,0.636,0.429
117,1,0.642,0.414
118,1,0.648,0.397
119,1,0.652,0.387
120,1,0.656,0.379
121,1,0.658,0.373
122,1,0.661,0.367
123,1,0.663,0.364
124,1,0.663,0.360
125,1,0.665,0.363
126,1,0.666,0.366
127,1,0.666,0.369
128,1,0.665,0.370
129,1,0.664,0.376
130,1,0.664,0.381
131,1,0.663,0.387
132,1,0.663,0.364
133,1,0.663,0.345
134,1,0.663,0.329
135,1,0.663,0.312
136,1,0.662,0.298
137,1,0.661,0.286
138,1,0.661,0.276
139,1,0.661,0.268
140,1,0.660,0.258
141,1,0.659,0.252
142,1,0.662,0.249
143,1,0.665,0.243
144,1,0.667,0.240
145,1,0.670,0.239
146,1,0.672,0.236
147,1,0.677,0.235
148,1,0.679,0.238
149,1,0.682,0.239
150,1,0.683,0.242
151,1,0.686,0.245
152,1,0.688,0.247
153,1,0.692,0.256
154,1,0.695,0.264
155,1,0.698,0.274
156,1,0.701,0.283
157,1,0.704,0.293
158,1,0.707,0.306
159,1,0.711,0.323
160,1,0.711,0.337
161,1,0.717,0.355
162,1,0.720,0.376
163,1,0.721,0.391
164,1,0.703,0.399
165,1,0.666,0.391
166,1,0.632,0.383
167,1,0.599,0.376
168,1,0.568,0.370
169,1,0.540,0.367
170,1,0.514,0.366
171,1,0.490,0.364
172,1,0.468,0.364
173,1,0.453,0.360
174,1,0.457,0.350
175,1,0.461,0.344
176,1,0.465,0.333
177,1,0.469,0.328
178,1,0.472,0.322
179,1,0.476,0.317
180,1,0.482,0.310
181,1,0.486,0.311
182,1,0.491,0.311
183,1,0.495,0.311
184,1,0.499,0.313
185,1,0.505,0.318
186,1,0.510,0.320
187,1,0.516,0.329
188,1,0.521,0.337
189,1,0.527,0.349
190,1,0.531,0.356
191,1,0.540,0.361
192,1,0.553,0.355
193,1,0.562,0.354
194,1,0.571,0.352
195,1,0.581,0.351
196,1,0.590,0.351
197,1,0.597,0.351
198,1,0.605,0.356
199,1,0.613,0.358
200,1,0.619,0.362
201,1,0.626,0.367
202,1,0.632,0.373
203,1,0.637,0.379
204,1,0.642,0.387
205,1,0.645,0.379
206,1,0.649,0.365
207,1,0.653,0.348
208,1,0.657,0.334
209,1,0.659,0.325
210,1,0.663,0.314
211,1,0.666,0.306
212,1,0.669,0.298
213,1,0.671,0.293
214,1,0.674,0.287
215,1,0.677,0.283
216,1,0.680,0.281
217,1,0.682,0.279
218,1,0.684,0.281
219,1,0.686,0.281
220,1,0.688,0.284
221,1,0.690,0.287
222,1,0.690,0.273
223,1,0.690,0.260
224,1,0.688,0.245
225,1,0.686,0.234
226,1,0.685,0.219
227,1,0.684,0.209
228,1,0.682,0.201
229,1,0.681,0.189
230,1,0.679,0.179
