Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,0,-1.000,-1.000
12,0,-1.000,-1.000
13,0,-1.000,-1.000
14,0,-1.000,-1.000
15,0,-1.000,-1.000
16,0,-1.000,-1.000
17,0,-1.000,-1.000
18,1,0.484,0.294
19,1,0.482,0.308
20,1,0.484,0.326
21,1,0.484,0.331
22,1,0.484,0.316
23,1,0.485,0.306
24,1,0.484,0.295
25,1,0.485,0.287
26,0,-1.000,-1.000
27,1,0.868,0.330
28,0,-1.000,-1.000
29,0,-1.000,-1.000
30,0,-1.000,-1.000
31,0,-1.000,-1.000
32,0,-1.000,-1.000
33,0,-1.000,-1.000
34,0,-1.000,-1.000
35,0,-1.000,-1.000
36,0,-1.000,-1.000
37,0,-1.000,-1.000
38,0,-1.000,-1.000
39,0,-1.000,-1.000
40,0,-1.000,-1.000
41,0,-1.000,-1.000
42,0,-1.000,-1.000
43,0,-1.000,-1.000
44,0,-1.000,-1.000
45,0,-1.000,-1.000
46,0,-1.000,-1.000
47,0,-1.000,-1.000
48,0,-1.000,-1.000
49,1,0.466,0.264
50,1,0.463,0.276
51,1,0.465,0.290
52,1,0.464,0.306
53,1,0.463,0.320
54,1,0.463,0.329
55,1,0.463,0.321
56,1,0.463,0.314
57,1,0.463,0.306
58,1,0.463,0.295
59,1,0.464,0.289
60,1,0.465,0.281
61,1,0.465,0.278
62,1,0.464,0.276
63,1,0.464,0.270
64,1,0.465,0.270
65,1,0.469,0.276
66,1,0.472,0.286
67,1,0.478,0.294
68,1,0.483,0.306
69,1,0.486,0.315
70,1,0.491,0.329
71,1,0.499,0.346
72,1,0.503,0.361
73,1,0.510,0.380
74,1,0.515,0.403
75,1,0.518,0.420
76,1,0.523,0.446
77,1,0.529,0.474
78,1,0.534,0.500
79,1,0.539,0.533
80,1,0.544,0.565
81,1,0.550,0.600
82,1,0.555,0.636
83,1,0.557,0.640
84,1,0.561,0.647
85,1,0.564,0.651
86,1,0.568,0.660
87,1,0.571,0.670
88,1,0.575,0.684
89,1,0.579,0.701
90,1,0.582,0.719
91,1,0.585,0.738
92,1,0.588,0.766
93,1,0.586,0.711
94,1,0.583,0.635
95,1,0.579,0.565
96,1,0.576,0.493
97,1,0.572,0.425
98,1,0.569,0.377
99,1,0.565,0.308
100,1,0.562,0.262
101,1,0.561,0.214
102,1,0.556,0.160
103,1,0.553,0.114
104,1,0.550,0.069
105,1,0.549,0.029
106,0,-1.000,-1.000
107,0,-1.000,-1.000
108,0,-1.000,-1.000
109,0,-1.000,-1.000
110,0,-1.000,-1.000
111,0,-1.000,-1.000
112,0,-1.000,-1.000
113,0,-1.000,-1.000
114,0,-1.000,-1.000
115,1,0.314,0.878
116,0,-1.000,-1.000
117,0,-1.000,-1.000
118,0,-1.000,-1.000
119,0,-1.000,-1.000
120,0,-1.000,-1.000
121,0,-1.000,-1.000
122,0,-1.000,-1.000
123,0,-1.000,-1.000
124,0,-1.000,-1.000
125,1,0.313,0.601
126,0,-1.000,-1.000
127,0,-1.000,-1.000
128,0,-1.000,-1.000
129,0,-1.000,-1.000
130,0,-1.000,-1.000
131,0,-1.000,-1.000
132,0,-1.000,-1.000
133,0,-1.000,-1.000
134,0,-1.000,-1.000
135,0,-1.000,-1.000
136,0,-1.000,-1.000
137,0,-1.000,-1.000
138,0,-1.000,-1.000
139,0,-1.000,-1.000
140,0,-1.000,-1.000
141,0,-1.000,-1.000
142,1,0.093,0.656
143,1,0.094,0.653
144,1,0.096,0.654
145,1,0.095,0.655
146,1,0.497,0.026
147,1,0.497,0.053
148,1,0.494,0.078
149,1,0.495,0.101
150,1,0.494,0.125
151,1,0.493,0.148
152,1,0.493,0.173
153,1,0.481,0.198
154,1,0.467,0.234
155,1,0.445,0.260
156,1,0.428,0.295
157,1,0.414,0.329
158,1,0.393,0.373
159,1,0.379,0.406
160,1,0.358,0.460
161,1,0.338,0.512
162,1,0.316,0.571
163,1,0.295,0.631
164,1,0.273,0.694
165,1,0.254,0.710
166,1,0.235,0.725
167,1,0.215,0.750
168,1,0.192,0.777
169,1,0.172,0.803
170,1,0.167,0.770
171,1,0.165,0.739
172,1,0.166,0.711
173,1,0.163,0.687
174,1,0.161,0.662
175,1,0.160,0.641
176,1,0.160,0.625
177,1,0.163,0.609
178,1,0.175,0.597
179,1,0.185,0.591
180,1,0.194,0.587
181,1,0.204,0.581
182,1,0.214,0.580
183,1,0.222,0.580
184,1,0.231,0.580
185,1,0.237,0.582
186,1,0.254,0.556
187,1,0.273,0.520
188,1,0.287,0.494
189,1,0.305,0.464
190,1,0.320,0.438
191,1,0.334,0.416
192,1,0.347,0.400
193,1,0.359,0.381
194,1,0.372,0.367
195,1,0.383,0.356
196,1,0.393,0.344
197,1,0.403,0.341
198,1,0.396,0.353
199,1,0.389,0.376
200,1,0.380,0.395
201,1,0.369,0.420
202,1,0.361,0.449
203,1,0.353,0.479
204,1,0.343,0.509
205,1,0.332,0.541
206,1,0.322,0.579
207,1,0.311,0.615
208,1,0.321,0.594
209,1,0.322,0.592
210,1,0.325,0.587
211,1,0.331,0.577
212,1,0.335,0.570
213,1,0.340,0.562
214,1,0.341,0.551
215,1,0.343,0.538
216,1,0.345,0.527
217,1,0.347,0.518
218,1,0.349,0.507
219,1,0.352,0.506
220,1,0.354,0.503
221,1,0.354,0.495
222,1,0.357,0.497
223,1,0.357,0.495
224,1,0.360,0.479
225,1,0.361,0.473
226,1,0.362,0.466
227,1,0.365,0.457
228,1,0.366,0.454
229,1,0.368,0.451
230,1,0.368,0.449
231,1,0.368,0.446
232,1,0.370,0.451
233,1,0.372,0.454
234,1,0.374,0.459
235,1,0.375,0.466
236,1,0.377,0.470
237,1,0.379,0.480
238,1,0.381,0.490
239,1,0.380,0.481
240,1,0.381,0.478
241,1,0.382,0.473
242,1,0.382,0.471
243,1,0.382,0.475
244,1,0.381,0.474
245,1,0.383,0.472
246,1,0.383,0.478
247,1,0.384,0.481
248,1,0.385,0.486
249,1,0.386,0.482
250,1,0.386,0.481
251,1,0.388,0.481
252,1,0.388,0.481
253,0,-1.000,-1.000
254,0,-1.000,-1.000
255,0,-1.000,-1.000
256,0,-1.000,-1.000
257,0,-1.000,-1.000
258,0,-1.000,-1.000
259,0,-1.000,-1.000
260,0,-1.000,-1.000
261,0,-1.000,-1.000
262,0,-1.000,-1.000
263,0,-1.000,-1.000
264,0,-1.000,-1.000
265,0,-1.000,-1.000
266,0,-1.000,-1.000
267,0,-1.000,-1.000
268,1,0.284,0.884
269,1,0.686,0.877
270,1,0.281,0.879
271,1,0.277,0.881
272,1,0.276,0.881
273,0,-1.000,-1.000
274,1,0.272,0.883
275,0,-1.000,-1.000
276,0,-1.000,-1.000
277,1,0.398,0.469
278,1,0.399,0.463
279,1,0.470,0.136
280,1,0.396,0.456
281,1,0.394,0.456
282,1,0.394,0.456
283,1,0.392,0.457
284,1,0.392,0.464
285,0,-1.000,-1.000
286,1,0.392,0.481
287,1,0.398,0.474
288,1,0.399,0.455
289,1,0.402,0.441
290,1,0.402,0.425
291,1,0.403,0.411
292,0,-1.000,-1.000
293,0,-1.000,-1.000
294,0,-1.000,-1.000
295,0,-1.000,-1.000
296,0,-1.000,-1.000
297,0,-1.000,-1.000
298,1,0.560,0.669
299,1,0.566,0.681
