Frame,Ball,x,y
0,1,0.425,0.308
1,1,0.424,0.305
2,1,0.426,0.299
3,1,0.425,0.295
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,0,-1.000,-1.000
12,0,-1.000,-1.000
13,0,-1.000,-1.000
14,0,-1.000,-1.000
15,0,-1.000,-1.000
16,0,-1.000,-1.000
17,0,-1.000,-1.000
18,0,-1.000,-1.000
19,0,-1.000,-1.000
20,0,-1.000,-1.000
21,0,-1.000,-1.000
22,1,0.398,0.251
23,1,0.398,0.256
24,1,0.397,0.265
25,1,0.396,0.276
26,1,0.396,0.291
27,1,0.396,0.303
28,1,0.396,0.319
29,1,0.395,0.334
30,1,0.396,0.331
31,1,0.395,0.322
32,1,0.396,0.313
33,1,0.397,0.304
34,1,0.397,0.298
35,1,0.397,0.293
36,1,0.397,0.290
37,1,0.398,0.286
38,1,0.398,0.283
39,1,0.398,0.281
40,1,0.398,0.281
41,1,0.407,0.287
42,1,0.423,0.293
43,1,0.438,0.297
44,1,0.454,0.305
45,1,0.470,0.313
46,1,0.486,0.322
47,1,0.501,0.330
48,1,0.514,0.344
49,1,0.537,0.357
50,1,0.555,0.375
51,1,0.573,0.391
52,1,0.592,0.411
53,1,0.608,0.426
54,1,0.629,0.448
55,1,0.647,0.472
56,1,0.667,0.497
57,1,0.687,0.525
58,1,0.708,0.553
59,1,0.729,0.585
60,1,0.751,0.621
61,1,0.772,0.656
62,1,0.792,0.671
63,1,0.808,0.679
64,1,0.818,0.691
65,1,0.838,0.694
66,1,0.842,0.697
67,1,0.836,0.706
68,1,0.832,0.715
69,1,0.828,0.726
70,1,0.823,0.737
71,1,0.818,0.754
72,1,0.811,0.770
73,1,0.807,0.781
74,1,0.797,0.699
75,1,0.789,0.631
76,1,0.780,0.566
77,1,0.772,0.506
78,1,0.767,0.452
79,1,0.760,0.399
80,1,0.752,0.344
81,1,0.748,0.300
82,1,0.742,0.259
83,1,0.738,0.223
84,1,0.732,0.185
85,1,0.727,0.150
86,1,0.721,0.119
87,1,0.717,0.092
88,1,0.711,0.065
89,1,0.708,0.042
90,1,0.704,0.019
91,0,-1.000,-1.000
92,0,-1.000,-1.000
93,0,-1.000,-1.000
94,0,-1.000,-1.000
95,1,0.319,0.629
96,1,0.318,0.620
97,1,0.309,0.614
98,1,0.310,0.580
99,0,-1.000,-1.000
100,1,0.304,0.576
101,0,-1.000,-1.000
102,0,-1.000,-1.000
103,0,-1.000,-1.000
104,0,-1.000,-1.000
105,0,-1.000,-1.000
106,0,-1.000,-1.000
107,0,-1.000,-1.000
108,0,-1.000,-1.000
109,0,-1.000,-1.000
110,1,0.287,0.555
111,0,-1.000,-1.000
112,0,-1.000,-1.000
113,0,-1.000,-1.000
114,0,-1.000,-1.000
115,1,0.619,0.014
116,1,0.616,0.028
117,1,0.615,0.045
118,1,0.613,0.062
119,1,0.609,0.080
120,1,0.608,0.100
121,1,0.607,0.118
122,1,0.604,0.132
123,1,0.602,0.156
124,1,0.577,0.177
125,1,0.554,0.199
126,1,0.536,0.215
127,1,0.507,0.246
128,1,0.481,0.277
129,1,0.456,0.307
130,1,0.431,0.341
131,1,0.405,0.383
132,1,0.378,0.419
133,1,0.351,0.464
134,1,0.323,0.516
135,1,0.295,0.569
136,1,0.275,0.600
137,1,0.253,0.592
138,1,0.230,0.580
139,1,0.207,0.577
140,1,0.186,0.573
141,1,0.170,0.574
142,1,0.174,0.565
143,1,0.183,0.559
144,1,0.191,0.556
145,1,0.198,0.556
146,1,0.207,0.555
147,1,0.216,0.556
148,1,0.222,0.558
149,1,0.232,0.565
150,1,0.242,0.574
151,1,0.251,0.583
152,1,0.260,0.597
153,1,0.272,0.615
154,1,0.280,0.632
155,1,0.287,0.644
156,1,0.301,0.676
157,1,0.314,0.700
158,1,0.322,0.720
159,1,0.333,0.712
160,1,0.344,0.706
161,1,0.354,0.701
162,1,0.364,0.698
163,1,0.373,0.696
164,1,0.383,0.698
165,1,0.393,0.701
166,1,0.403,0.706
167,1,0.412,0.712
168,1,0.420,0.719
169,1,0.430,0.729
170,1,0.438,0.742
171,1,0.447,0.754
172,1,0.452,0.760
173,1,0.454,0.747
174,1,0.454,0.731
175,1,0.454,0.720
176,1,0.455,0.712
177,1,0.455,0.704
178,1,0.455,0.700
179,1,0.455,0.697
180,0,-1.000,-1.000
181,0,-1.000,-1.000
182,0,-1.000,-1.000
183,0,-1.000,-1.000
184,0,-1.000,-1.000
185,0,-1.000,-1.000
186,0,-1.000,-1.000
187,0,-1.000,-1.000
188,0,-1.000,-1.000
189,0,-1.000,-1.000
190,0,-1.000,-1.000
191,0,-1.000,-1.000
192,0,-1.000,-1.000
193,0,-1.000,-1.000
194,0,-1.000,-1.000
195,0,-1.000,-1.000
196,0,-1.000,-1.000
197,0,-1.000,-1.000
198,0,-1.000,-1.000
199,0,-1.000,-1.000
200,0,-1.000,-1.000
201,0,-1.000,-1.000
