Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,0,-1.000,-1.000
12,0,-1.000,-1.000
13,0,-1.000,-1.000
14,0,-1.000,-1.000
15,1,0.443,0.236
16,1,0.442,0.257
17,1,0.441,0.265
18,1,0.441,0.281
19,1,0.443,0.293
20,1,0.440,0.293
21,1,0.442,0.282
22,1,0.441,0.276
23,1,0.441,0.268
24,1,0.441,0.264
25,1,0.442,0.260
26,1,0.442,0.254
27,1,0.442,0.250
28,1,0.442,0.249
29,1,0.441,0.247
30,1,0.455,0.253
31,1,0.464,0.260
32,1,0.478,0.265
33,1,0.489,0.271
34,1,0.503,0.281
35,1,0.516,0.289
36,1,0.528,0.299
37,1,0.544,0.312
38,1,0.559,0.326
39,1,0.570,0.342
40,1,0.588,0.357
41,1,0.602,0.374
42,1,0.620,0.400
43,1,0.638,0.425
44,1,0.653,0.443
45,1,0.670,0.469
46,1,0.688,0.500
47,1,0.709,0.535
48,1,0.724,0.562
49,1,0.746,0.599
50,1,0.766,0.625
51,1,0.777,0.629
52,1,0.793,0.639
53,0,-1.000,-1.000
54,1,0.485,0.347
55,0,-1.000,-1.000
56,1,0.459,0.349
57,1,0.462,0.347
58,1,0.803,0.629
59,1,0.774,0.585
60,1,0.748,0.544
61,1,0.723,0.507
62,1,0.700,0.476
63,1,0.680,0.449
64,1,0.661,0.426
65,1,0.641,0.404
66,1,0.626,0.389
67,1,0.609,0.374
68,1,0.595,0.360
69,1,0.581,0.349
70,1,0.569,0.343
71,1,0.557,0.336
72,1,0.548,0.329
73,1,0.539,0.324
74,1,0.527,0.322
75,1,0.529,0.325
76,1,0.533,0.331
77,1,0.537,0.335
78,1,0.541,0.344
79,1,0.545,0.347
80,1,0.549,0.358
81,1,0.552,0.358
82,1,0.555,0.358
83,1,0.560,0.361
84,1,0.563,0.365
85,1,0.566,0.372
86,1,0.571,0.376
87,1,0.577,0.382
88,1,0.580,0.393
89,1,0.584,0.400
90,1,0.588,0.412
91,1,0.592,0.428
92,1,0.597,0.443
93,1,0.602,0.460
94,1,0.606,0.482
95,1,0.613,0.506
96,1,0.616,0.526
97,1,0.622,0.554
98,1,0.627,0.583
99,1,0.631,0.614
100,1,0.636,0.646
101,1,0.643,0.682
102,1,0.646,0.697
103,1,0.650,0.689
104,1,0.652,0.685
105,1,0.655,0.676
106,1,0.658,0.674
107,1,0.662,0.674
108,1,0.664,0.672
109,1,0.666,0.678
110,1,0.668,0.681
111,1,0.673,0.683
112,1,0.671,0.618
113,1,0.670,0.549
114,1,0.669,0.494
115,1,0.668,0.431
116,1,0.666,0.385
117,1,0.664,0.340
118,1,0.664,0.293
119,1,0.664,0.257
120,1,0.662,0.215
121,1,0.659,0.190
122,1,0.658,0.154
123,1,0.658,0.125
124,1,0.655,0.104
125,1,0.655,0.082
126,1,0.653,0.060
127,1,0.652,0.046
128,1,0.651,0.031
129,1,0.648,0.014
130,1,0.648,0.006
131,0,-1.000,-1.000
132,0,-1.000,-1.000
133,0,-1.000,-1.000
134,0,-1.000,-1.000
135,0,-1.000,-1.000
136,0,-1.000,-1.000
137,0,-1.000,-1.000
138,0,-1.000,-1.000
139,0,-1.000,-1.000
140,0,-1.000,-1.000
141,0,-1.000,-1.000
142,0,-1.000,-1.000
143,0,-1.000,-1.000
144,1,0.632,0.003
145,1,0.630,0.011
146,1,0.628,0.022
147,1,0.628,0.033
148,1,0.628,0.046
149,1,0.627,0.051
150,1,0.627,0.068
151,1,0.623,0.079
152,1,0.624,0.096
153,1,0.623,0.107
154,1,0.621,0.125
155,1,0.620,0.140
156,1,0.609,0.151
157,1,0.586,0.167
158,1,0.565,0.178
159,1,0.544,0.192
160,1,0.524,0.207
161,1,0.502,0.225
162,1,0.479,0.247
163,1,0.456,0.269
164,1,0.434,0.294
165,1,0.411,0.318
166,1,0.384,0.347
167,1,0.364,0.372
168,1,0.334,0.415
169,1,0.306,0.449
170,1,0.285,0.487
171,1,0.259,0.531
172,1,0.237,0.543
173,1,0.228,0.535
174,1,0.241,0.532
175,1,0.251,0.532
176,1,0.260,0.531
177,1,0.271,0.528
178,1,0.282,0.529
179,1,0.294,0.537
180,1,0.302,0.540
181,1,0.314,0.549
