Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,0,-1.000,-1.000
12,0,-1.000,-1.000
13,0,-1.000,-1.000
14,1,0.459,0.249
15,1,0.459,0.265
16,1,0.459,0.279
17,1,0.459,0.292
18,1,0.459,0.307
19,0,-1.000,-1.000
20,0,-1.000,-1.000
21,0,-1.000,-1.000
22,0,-1.000,-1.000
23,0,-1.000,-1.000
24,1,0.463,0.271
25,1,0.463,0.268
26,1,0.464,0.263
27,1,0.464,0.260
28,1,0.464,0.256
29,1,0.466,0.256
30,1,0.466,0.260
31,1,0.471,0.261
32,1,0.487,0.269
33,1,0.500,0.279
34,1,0.513,0.287
35,1,0.529,0.297
36,1,0.544,0.314
37,1,0.559,0.324
38,1,0.577,0.346
39,1,0.591,0.361
40,1,0.609,0.381
41,1,0.621,0.400
42,1,0.641,0.424
43,1,0.659,0.450
44,1,0.673,0.475
45,1,0.691,0.503
46,1,0.713,0.539
47,1,0.730,0.572
48,1,0.749,0.610
49,1,0.769,0.649
50,1,0.785,0.676
51,1,0.803,0.692
52,1,0.809,0.679
53,1,0.798,0.632
54,1,0.790,0.593
55,1,0.779,0.554
56,1,0.771,0.517
57,1,0.764,0.486
58,1,0.754,0.456
59,1,0.747,0.429
60,1,0.739,0.403
61,1,0.731,0.383
62,1,0.724,0.360
63,1,0.720,0.344
64,1,0.713,0.329
65,1,0.705,0.314
66,1,0.700,0.303
67,1,0.694,0.294
68,1,0.690,0.286
69,1,0.682,0.279
70,1,0.677,0.272
71,1,0.674,0.269
72,1,0.670,0.279
73,1,0.662,0.306
74,1,0.658,0.324
75,1,0.652,0.347
76,1,0.646,0.369
77,1,0.640,0.401
78,1,0.633,0.432
79,1,0.627,0.460
80,1,0.620,0.489
81,1,0.611,0.531
82,1,0.602,0.567
83,1,0.595,0.608
84,1,0.587,0.635
85,1,0.582,0.632
86,1,0.575,0.629
87,1,0.569,0.629
88,1,0.564,0.632
89,1,0.556,0.639
90,1,0.551,0.643
91,1,0.544,0.650
92,1,0.535,0.658
93,1,0.529,0.672
94,1,0.520,0.688
95,1,0.515,0.704
96,1,0.506,0.701
97,1,0.505,0.637
98,1,0.505,0.574
99,1,0.505,0.515
100,1,0.504,0.460
101,1,0.505,0.399
102,1,0.502,0.361
103,1,0.502,0.303
104,1,0.501,0.256
105,1,0.498,0.212
106,1,0.497,0.176
107,1,0.497,0.142
108,1,0.496,0.108
109,1,0.496,0.076
110,1,0.494,0.046
111,1,0.493,0.024
112,1,0.493,0.007
113,0,-1.000,-1.000
114,0,-1.000,-1.000
115,0,-1.000,-1.000
116,0,-1.000,-1.000
117,0,-1.000,-1.000
118,0,-1.000,-1.000
119,0,-1.000,-1.000
120,0,-1.000,-1.000
121,0,-1.000,-1.000
122,0,-1.000,-1.000
123,0,-1.000,-1.000
124,0,-1.000,-1.000
125,0,-1.000,-1.000
126,0,-1.000,-1.000
127,0,-1.000,-1.000
128,0,-1.000,-1.000
129,0,-1.000,-1.000
130,0,-1.000,-1.000
131,0,-1.000,-1.000
132,0,-1.000,-1.000
133,0,-1.000,-1.000
134,0,-1.000,-1.000
135,0,-1.000,-1.000
136,0,-1.000,-1.000
137,1,0.477,0.006
138,1,0.477,0.022
139,1,0.476,0.040
140,1,0.477,0.058
141,1,0.477,0.078
142,1,0.475,0.099
143,1,0.475,0.126
144,1,0.482,0.143
145,1,0.491,0.161
146,1,0.501,0.176
147,1,0.514,0.200
148,1,0.527,0.225
149,1,0.540,0.254
150,1,0.553,0.281
151,1,0.567,0.310
152,1,0.580,0.342
153,1,0.596,0.375
154,1,0.609,0.412
155,1,0.623,0.450
156,1,0.641,0.494
157,1,0.643,0.474
158,1,0.643,0.446
159,1,0.644,0.419
160,1,0.645,0.393
161,1,0.646,0.371
162,1,0.646,0.351
163,1,0.647,0.332
164,1,0.647,0.315
165,1,0.648,0.306
166,1,0.649,0.290
167,1,0.649,0.282
168,1,0.651,0.271
169,1,0.652,0.264
170,1,0.652,0.260
171,1,0.653,0.254
172,1,0.654,0.251
173,1,0.655,0.253
174,1,0.655,0.250
175,1,0.656,0.254
176,1,0.657,0.256
177,1,0.657,0.256
178,1,0.649,0.269
179,1,0.641,0.276
180,1,0.630,0.287
181,1,0.621,0.304
182,1,0.611,0.318
183,1,0.602,0.331
184,1,0.590,0.349
185,1,0.580,0.371
186,1,0.567,0.392
187,1,0.555,0.412
188,1,0.543,0.435
189,1,0.531,0.463
190,1,0.517,0.492
191,1,0.505,0.521
192,1,0.490,0.554
193,1,0.475,0.590
194,1,0.462,0.628
195,1,0.445,0.668
196,1,0.430,0.708
197,1,0.416,0.711
198,1,0.405,0.715
199,1,0.392,0.719
200,1,0.381,0.722
201,1,0.367,0.733
202,1,0.354,0.744
203,1,0.338,0.761
204,1,0.324,0.774
205,1,0.313,0.785
206,1,0.315,0.764
207,1,0.314,0.750
208,1,0.312,0.738
209,1,0.312,0.725
210,1,0.312,0.717
211,1,0.310,0.711
212,1,0.314,0.706
213,1,0.312,0.703
214,1,0.315,0.681
215,1,0.327,0.611
216,1,0.338,0.550
217,1,0.346,0.493
218,1,0.359,0.433
219,1,0.369,0.381
220,1,0.379,0.332
221,1,0.388,0.286
222,1,0.396,0.244
223,1,0.406,0.197
224,1,0.413,0.165
225,1,0.423,0.133
226,1,0.431,0.096
227,1,0.440,0.071
228,1,0.446,0.044
229,1,0.453,0.021
230,1,0.459,0.007
231,0,-1.000,-1.000
232,0,-1.000,-1.000
233,0,-1.000,-1.000
234,0,-1.000,-1.000
235,0,-1.000,-1.000
236,0,-1.000,-1.000
237,0,-1.000,-1.000
238,0,-1.000,-1.000
239,0,-1.000,-1.000
240,0,-1.000,-1.000
241,0,-1.000,-1.000
242,0,-1.000,-1.000
243,0,-1.000,-1.000
244,0,-1.000,-1.000
245,0,-1.000,-1.000
246,0,-1.000,-1.000
247,0,-1.000,-1.000
248,0,-1.000,-1.000
249,0,-1.000,-1.000
250,0,-1.000,-1.000
251,0,-1.000,-1.000
252,0,-1.000,-1.000
253,0,-1.000,-1.000
254,1,0.591,0.006
255,1,0.595,0.022
256,1,0.600,0.039
257,1,0.603,0.061
258,1,0.608,0.085
259,1,0.611,0.100
260,1,0.614,0.122
261,1,0.616,0.144
262,1,0.602,0.157
263,1,0.584,0.171
264,1,0.569,0.181
265,1,0.551,0.197
266,1,0.534,0.214
267,1,0.521,0.233
268,1,0.505,0.253
269,1,0.486,0.274
270,1,0.470,0.296
271,1,0.452,0.319
272,1,0.436,0.349
273,1,0.419,0.376
274,1,0.400,0.406
275,1,0.384,0.440
276,1,0.368,0.468
277,1,0.348,0.515
278,1,0.329,0.553
279,1,0.309,0.597
280,1,0.293,0.640
281,1,0.277,0.669
282,1,0.259,0.706
283,1,0.246,0.724
284,1,0.234,0.725
285,1,0.220,0.726
286,1,0.211,0.733
287,1,0.198,0.738
288,1,0.184,0.747
289,1,0.174,0.757
290,1,0.165,0.747
291,1,0.159,0.726
292,1,0.154,0.707
293,1,0.148,0.689
294,1,0.142,0.675
295,1,0.138,0.662
296,1,0.138,0.656
297,1,0.147,0.646
298,1,0.157,0.640
299,1,0.168,0.635
300,1,0.177,0.637
301,1,0.186,0.637
302,1,0.197,0.639
303,1,0.207,0.646
304,1,0.212,0.650
305,1,0.224,0.628
306,1,0.234,0.578
307,1,0.245,0.522
308,1,0.254,0.472
309,1,0.263,0.432
310,1,0.272,0.388
311,1,0.280,0.349
312,1,0.287,0.321
313,1,0.297,0.286
314,1,0.305,0.251
315,1,0.311,0.228
316,1,0.319,0.201
317,1,0.327,0.176
318,1,0.334,0.154
319,1,0.341,0.138
320,1,0.347,0.121
321,1,0.354,0.104
322,1,0.359,0.093
323,1,0.366,0.083
324,1,0.373,0.072
325,1,0.379,0.068
326,1,0.384,0.062
327,1,0.388,0.057
328,1,0.393,0.053
329,1,0.398,0.053
330,1,0.404,0.053
331,1,0.409,0.057
332,1,0.414,0.060
333,1,0.416,0.067
334,1,0.423,0.071
335,1,0.428,0.081
336,1,0.432,0.089
337,1,0.436,0.100
338,1,0.440,0.110
339,1,0.444,0.125
340,1,0.448,0.136
341,1,0.451,0.153
342,1,0.455,0.165
343,1,0.453,0.181
344,1,0.452,0.199
345,1,0.451,0.219
346,1,0.447,0.239
347,1,0.447,0.260
348,1,0.446,0.281
349,1,0.445,0.306
350,1,0.444,0.332
351,1,0.443,0.361
352,1,0.444,0.393
353,1,0.443,0.424
354,1,0.444,0.460
355,1,0.445,0.500
356,1,0.446,0.532
357,1,0.455,0.517
358,1,0.466,0.497
359,1,0.475,0.486
360,1,0.488,0.472
361,1,0.496,0.461
362,1,0.506,0.454
363,1,0.516,0.446
364,1,0.524,0.438
365,1,0.534,0.433
366,1,0.541,0.431
367,1,0.549,0.431
368,1,0.559,0.428
369,1,0.568,0.431
370,1,0.574,0.435
371,1,0.584,0.440
372,1,0.591,0.450
373,1,0.598,0.456
374,1,0.604,0.467
375,1,0.609,0.481
376,1,0.619,0.486
377,1,0.627,0.479
378,1,0.631,0.468
379,1,0.637,0.457
380,1,0.642,0.447
381,1,0.645,0.439
382,1,0.650,0.431
383,1,0.654,0.428
384,1,0.658,0.425
385,1,0.660,0.421
386,1,0.666,0.422
387,1,0.668,0.425
388,1,0.670,0.426
389,1,0.674,0.428
390,1,0.678,0.435
391,1,0.681,0.439
