Frame,Ball,x,y
0,0,-1.000,-1.000
1,0,-1.000,-1.000
2,0,-1.000,-1.000
3,0,-1.000,-1.000
4,0,-1.000,-1.000
5,0,-1.000,-1.000
6,0,-1.000,-1.000
7,0,-1.000,-1.000
8,0,-1.000,-1.000
9,0,-1.000,-1.000
10,0,-1.000,-1.000
11,0,-1.000,-1.000
12,0,-1.000,-1.000
13,0,-1.000,-1.000
14,0,-1.000,-1.000
15,0,-1.000,-1.000
16,0,-1.000,-1.000
17,0,-1.000,-1.000
18,0,-1.000,-1.000
19,0,-1.000,-1.000
20,0,-1.000,-1.000
21,0,-1.000,-1.000
22,0,-1.000,-1.000
23,0,-1.000,-1.000
24,0,-1.000,-1.000
25,0,-1.000,-1.000
26,0,-1.000,-1.000
27,0,-1.000,-1.000
28,0,-1.000,-1.000
29,0,-1.000,-1.000
30,0,-1.000,-1.000
31,0,-1.000,-1.000
32,0,-1.000,-1.000
33,0,-1.000,-1.000
34,0,-1.000,-1.000
35,0,-1.000,-1.000
36,1,0.545,0.253
37,1,0.544,0.267
38,1,0.544,0.279
39,1,0.541,0.296
40,1,0.539,0.311
41,1,0.537,0.328
42,1,0.536,0.342
43,1,0.536,0.333
44,1,0.535,0.321
45,1,0.535,0.312
46,1,0.535,0.303
47,1,0.534,0.296
48,1,0.534,0.290
49,1,0.534,0.285
50,1,0.533,0.283
51,1,0.533,0.282
52,1,0.533,0.276
53,1,0.532,0.276
54,1,0.530,0.279
55,1,0.519,0.286
56,1,0.505,0.296
57,1,0.490,0.307
58,1,0.479,0.319
59,1,0.467,0.333
60,1,0.450,0.350
61,1,0.433,0.367
62,1,0.422,0.382
63,1,0.405,0.400
64,1,0.391,0.421
65,1,0.371,0.446
66,1,0.356,0.471
67,1,0.338,0.496
68,1,0.317,0.525
69,1,0.298,0.557
70,1,0.280,0.589
71,1,0.259,0.624
72,1,0.242,0.656
73,1,0.219,0.671
74,1,0.203,0.671
75,1,0.184,0.679
76,1,0.172,0.683
77,1,0.180,0.690
78,1,0.189,0.696
79,1,0.196,0.704
80,1,0.202,0.715
81,1,0.211,0.728
82,1,0.219,0.746
83,1,0.225,0.758
84,1,0.236,0.686
85,1,0.248,0.621
86,1,0.258,0.560
87,1,0.267,0.510
88,1,0.278,0.450
89,1,0.286,0.396
90,1,0.294,0.350
91,1,0.303,0.300
92,1,0.312,0.257
93,1,0.318,0.217
94,1,0.327,0.182
95,1,0.335,0.146
96,1,0.344,0.114
97,1,0.350,0.086
98,1,0.356,0.057
99,1,0.364,0.031
100,1,0.372,0.011
101,0,-1.000,-1.000
102,0,-1.000,-1.000
103,0,-1.000,-1.000
104,0,-1.000,-1.000
105,0,-1.000,-1.000
106,0,-1.000,-1.000
107,0,-1.000,-1.000
108,0,-1.000,-1.000
109,0,-1.000,-1.000
110,0,-1.000,-1.000
111,0,-1.000,-1.000
112,0,-1.000,-1.000
113,0,-1.000,-1.000
114,0,-1.000,-1.000
115,0,-1.000,-1.000
116,0,-1.000,-1.000
117,0,-1.000,-1.000
118,0,-1.000,-1.000
119,0,-1.000,-1.000
120,0,-1.000,-1.000
121,0,-1.000,-1.000
122,0,-1.000,-1.000
123,0,-1.000,-1.000
124,0,-1.000,-1.000
125,0,-1.000,-1.000
126,1,0.515,0.004
127,1,0.517,0.017
128,1,0.522,0.033
129,1,0.525,0.056
130,1,0.529,0.074
131,1,0.535,0.096
132,1,0.539,0.117
133,1,0.541,0.136
134,1,0.548,0.168
135,1,0.556,0.208
136,1,0.567,0.254
137,1,0.579,0.307
138,1,0.591,0.367
139,1,0.602,0.417
140,1,0.619,0.489
141,1,0.634,0.568
142,1,0.651,0.649
143,1,0.663,0.697
144,1,0.674,0.703
145,1,0.688,0.707
146,1,0.701,0.719
147,1,0.714,0.733
148,1,0.723,0.728
149,1,0.720,0.676
150,1,0.715,0.633
151,1,0.711,0.592
152,1,0.707,0.546
153,1,0.702,0.512
154,1,0.698,0.478
155,1,0.694,0.444
156,1,0.692,0.417
157,1,0.688,0.390
158,1,0.684,0.365
159,1,0.680,0.343
160,1,0.678,0.325
161,1,0.674,0.311
162,1,0.671,0.294
163,1,0.670,0.281
164,1,0.666,0.274
165,1,0.663,0.263
166,1,0.660,0.254
167,1,0.658,0.249
168,1,0.655,0.244
169,1,0.652,0.242
170,1,0.650,0.242
171,1,0.648,0.240
172,1,0.639,0.240
173,1,0.630,0.237
174,1,0.619,0.235
175,1,0.611,0.233
176,1,0.600,0.233
177,1,0.592,0.237
178,1,0.584,0.239
179,1,0.575,0.240
180,1,0.567,0.247
181,1,0.560,0.250
182,1,0.552,0.260
183,1,0.547,0.268
184,1,0.539,0.276
185,1,0.534,0.285
186,1,0.534,0.292
187,1,0.540,0.299
188,1,0.547,0.306
189,1,0.554,0.317
190,1,0.560,0.326
191,1,0.567,0.339
192,1,0.572,0.351
193,1,0.580,0.367
194,1,0.588,0.388
195,1,0.594,0.407
196,1,0.601,0.410
197,1,0.610,0.417
198,1,0.616,0.419
199,1,0.623,0.422
200,1,0.627,0.421
201,1,0.633,0.422
202,1,0.640,0.422
203,1,0.644,0.425
204,1,0.648,0.429
205,1,0.656,0.433
206,1,0.661,0.442
207,1,0.665,0.435
208,1,0.667,0.417
209,1,0.670,0.406
210,1,0.673,0.393
211,1,0.674,0.382
212,1,0.677,0.372
213,1,0.681,0.362
214,1,0.684,0.360
215,1,0.684,0.353
216,1,0.688,0.351
217,1,0.690,0.346
218,1,0.693,0.340
219,1,0.695,0.336
220,1,0.698,0.332
221,1,0.700,0.333
222,1,0.702,0.328
223,1,0.707,0.329
224,1,0.709,0.329
225,1,0.711,0.333
226,1,0.715,0.336
227,1,0.718,0.339
228,1,0.722,0.349
229,1,0.724,0.354
230,1,0.727,0.367
231,1,0.730,0.376
232,1,0.733,0.388
233,1,0.738,0.403
234,1,0.741,0.418
235,1,0.743,0.433
236,1,0.746,0.450
237,1,0.748,0.468
238,1,0.752,0.492
239,1,0.754,0.512
240,1,0.745,0.503
241,1,0.716,0.474
242,1,0.693,0.453
243,1,0.676,0.439
244,1,0.652,0.415
245,1,0.629,0.399
246,1,0.611,0.383
247,1,0.594,0.372
248,1,0.575,0.360
249,1,0.556,0.350
250,1,0.541,0.346
251,1,0.522,0.339
252,1,0.505,0.333
253,1,0.489,0.333
254,1,0.478,0.332
255,1,0.461,0.333
256,1,0.444,0.333
257,1,0.431,0.332
258,1,0.417,0.336
259,1,0.405,0.342
260,1,0.394,0.347
261,1,0.390,0.343
262,1,0.390,0.338
263,1,0.389,0.335
264,1,0.388,0.333
265,1,0.387,0.331
266,1,0.385,0.331
267,1,0.383,0.333
268,1,0.383,0.340
269,1,0.381,0.343
270,1,0.380,0.349
271,1,0.377,0.354
272,1,0.376,0.365
273,1,0.372,0.375
274,1,0.372,0.388
275,1,0.369,0.401
276,1,0.367,0.417
277,1,0.368,0.438
278,1,0.398,0.436
279,1,0.421,0.435
280,1,0.455,0.436
281,1,0.478,0.435
282,1,0.487,0.444
283,1,0.489,0.460
284,1,0.490,0.475
285,1,0.491,0.489
286,1,0.491,0.499
287,0,-1.000,-1.000
288,0,-1.000,-1.000
289,0,-1.000,-1.000
290,0,-1.000,-1.000
