Frame,Ball,x,y
0,1,0.463,0.265
1,1,0.463,0.281
2,1,0.463,0.299
3,1,0.463,0.317
4,1,0.463,0.319
5,1,0.462,0.308
6,1,0.463,0.297
7,1,0.464,0.286
8,1,0.465,0.279
9,1,0.465,0.272
10,1,0.465,0.267
11,1,0.466,0.261
12,1,0.467,0.258
13,1,0.466,0.257
14,1,0.467,0.257
15,1,0.468,0.257
16,1,0.474,0.261
17,1,0.488,0.269
18,1,0.504,0.283
19,1,0.520,0.292
20,1,0.536,0.306
21,1,0.552,0.322
22,1,0.568,0.338
23,1,0.587,0.356
24,1,0.602,0.374
25,1,0.621,0.392
26,1,0.637,0.415
27,1,0.656,0.439
28,1,0.673,0.465
29,1,0.694,0.496
30,1,0.711,0.526
31,1,0.732,0.558
32,1,0.751,0.592
33,1,0.772,0.632
34,1,0.796,0.664
35,1,0.808,0.682
36,1,0.825,0.682
37,1,0.841,0.690
38,1,0.846,0.694
39,1,0.837,0.664
40,1,0.824,0.614
41,1,0.813,0.574
42,1,0.803,0.539
43,1,0.794,0.504
44,1,0.784,0.474
45,1,0.774,0.444
46,1,0.766,0.422
47,1,0.756,0.400
48,1,0.748,0.383
49,1,0.741,0.362
50,1,0.733,0.350
51,1,0.724,0.333
52,1,0.717,0.322
53,1,0.711,0.315
54,1,0.702,0.306
55,1,0.696,0.300
56,1,0.689,0.297
57,1,0.682,0.293
58,1,0.678,0.294
59,1,0.668,0.292
60,1,0.646,0.312
61,1,0.620,0.335
62,1,0.595,0.356
63,1,0.570,0.374
64,1,0.544,0.400
65,1,0.517,0.425
66,1,0.489,0.456
67,1,0.458,0.483
68,1,0.434,0.512
69,1,0.406,0.542
70,1,0.383,0.550
71,1,0.363,0.549
72,1,0.341,0.543
73,1,0.322,0.542
74,1,0.298,0.539
75,1,0.277,0.537
76,1,0.256,0.542
77,1,0.234,0.542
78,1,0.216,0.550
79,1,0.191,0.554
80,1,0.183,0.557
81,1,0.200,0.550
82,1,0.211,0.549
83,1,0.226,0.543
84,1,0.239,0.542
85,1,0.254,0.543
86,1,0.266,0.544
87,1,0.281,0.550
88,1,0.295,0.556
89,1,0.308,0.562
90,1,0.316,0.540
91,1,0.323,0.487
92,1,0.326,0.433
93,1,0.329,0.385
94,1,0.333,0.339
95,1,0.337,0.297
96,1,0.339,0.258
97,1,0.344,0.225
98,1,0.346,0.186
99,1,0.348,0.157
100,1,0.352,0.129
101,1,0.356,0.100
102,1,0.357,0.078
103,1,0.360,0.056
104,1,0.362,0.036
105,1,0.366,0.019
106,1,0.367,0.004
107,0,-1.000,-1.000
108,0,-1.000,-1.000
109,0,-1.000,-1.000
110,0,-1.000,-1.000
111,0,-1.000,-1.000
112,0,-1.000,-1.000
113,0,-1.000,-1.000
114,0,-1.000,-1.000
115,0,-1.000,-1.000
116,0,-1.000,-1.000
117,0,-1.000,-1.000
118,0,-1.000,-1.000
119,0,-1.000,-1.000
120,0,-1.000,-1.000
121,0,-1.000,-1.000
122,1,0.404,0.004
123,1,0.405,0.017
124,1,0.407,0.028
125,1,0.410,0.044
126,1,0.411,0.061
127,1,0.413,0.081
128,1,0.415,0.094
129,1,0.417,0.117
130,1,0.420,0.138
131,1,0.422,0.158
132,1,0.422,0.179
133,1,0.445,0.212
134,1,0.465,0.247
135,1,0.489,0.283
136,1,0.510,0.318
137,1,0.534,0.360
138,1,0.556,0.400
139,1,0.582,0.447
140,1,0.611,0.500
141,1,0.636,0.542
142,1,0.670,0.606
143,1,0.694,0.650
144,1,0.718,0.650
145,1,0.743,0.654
146,1,0.770,0.664
147,1,0.794,0.674
148,1,0.823,0.686
149,1,0.852,0.701
150,1,0.877,0.719
151,1,0.868,0.726
152,1,0.853,0.742
153,1,0.837,0.733
